Фамилия;Имя;Отчество;Регион;Серия и номер паспорта;Марка автомобиля;Модель автомобиля;Год выпуска;Цвет;Номерной знак;Нарушение
Чернявский;Федор;Климентьевич;Нижегородская область;4 371 901 221;BMW;X6;2010;Серебристо-синий;B057PP57;Статья 12.1. Управление транспортным средством, не зарегистрированным в установленном порядке, транспортным средством, не прошедшим государственного технического осмотра или технического осмотра
Митина;Рада;Ильиновна;Костромская область;4 745 486 638;Audi;A2;2002;Серебристо-бежевый;Т627МН87;
Десятков;Арсений;Вениаминович;Республика Дагестан;4 989 414 557;Daewoo;Magnus;2002;Тёмно-серый;M111EM57;Статья 12.7. Управление транспортным средством водителем, не имеющим права управления транспортным средством
Витюгов;Иван;Нифонтович;Архангельская обл. без НАО;4 634 640 207;BMW;X3 M;2020;Тёмно-бордовый;В811ОА40;
Подмазко;Алексей;Прохорович;Ханты-Мансийский ао-Югра;4 085 673 985;Chery;Tiggo;2008;Серо-зеленоватый;A777KA57;Статья 12.32.1. Допуск к управлению транспортным средством водителя, не имеющего российского национального водительского удостоверения
Шкригунов;Герман;Валерьевич;Нижегородская область;4 040 150 785;Geely;Atlas;2020;Бежевый;А257РК38;
Вирановский;Юлиан;Лукьевич;Карачаево-Черкесская Респ.;4 034 895 662;Honda;City;2014;Красный;Е902ВК43;
Тупицына;Марина;Александровна;Приморский край;4 184 151 708;Audi;A3;2018;Тёмно-зелёный;Н598КМ21;Статья 12.32. Допуск к управлению транспортным средством водителя, находящегося в состоянии опьянения либо не имеющего права управления транспортным средством
Чуканова;Аполлинария;Петровна;Липецкая область;4 364 615 006;Chery;Tiggo 8;2020;Вишнёвый;Т548КС41;
Яцышин;Афанасий;Тимофеевич;Московская область;4 565 939 286;Daewoo;Leganza;1998;Ярко-жёлтый;У298КЕ88;
Хрустицкий;Николай;Никитьевич;Вологодская область;4 025 482 636;Infiniti;EX;2013;Серебристый-бежевый;A001AA72;Статья 12.32. Допуск к управлению транспортным средством водителя, находящегося в состоянии опьянения либо не имеющего права управления транспортным средством
Маслака;Алиса;Максимовна;Респ. Северная Осетия-Алания;4 894 433 459;Infiniti;EX;2010;Золотисто-оливковый;М639НМ02;
Клемент;Вероника;Аркадивна;Ростовская область;4 541 351 227;BMW;M3;2006;Зелёный;В323МТ70;
Яранцева;Александра;Евгеньевна;Московская область;4 055 986 831;Infiniti;EX;2009;Коричневый;В698НВ30;
