Фамилия;Имя;Отчество;Пол;Дата рождения;Возраст;Номер телефона;Адрес прописки;Регион;Серия и номер паспорта;Статус
Наливкин;Григорий;Юлианович;Мужчина;18.05.1991;30;+7 (990) 832-26-90;Россия, г. Сургут, Белорусская ул., д. 17 кв.192;Краснодарский край;4 150 971 009;Нормально
Шалупова;Александра;Порфнрьевна;Женщина;15.05.1963;58;+7 (998) 732-74-92;Россия, г. Кисловодск, Ленина В.И.ул., д. 18 кв.200;Ростовская область;4 386 557 938;В розыске
Дрягин;Прохор;Юрьевич;Мужчина;14.01.1991;31;+7 (959) 356-88-61;Россия, г. Рыбинск, Луговая ул., д. 7 кв.73;Ставропольский край;4 724 546 623;Нормально
Канаев;Ефим;Степанович;Мужчина;28.08.1966;55;+7 (911) 776-73-51;Россия, г. Волжский, Молодежный пер., д. 14 кв.169;Республика Калмыкия;4 631 134 092;Нормально
Лебединская;Юлиана;Юлиановна;Женщина;08.09.1995;26;+7 (934) 904-93-78;Россия, г. Владимир, Дачная ул., д. 6 кв.36;Иркутская область;4 590 186 812;Нормально
Щегельский;Евгений;Герасимович;Мужчина;21.12.1980;41;+7 (914) 798-24-80;Россия, г. Петрозаводск, Полесская ул., д. 16 кв.55;Белгородская область;4 754 952 252;Нормально
Федоренко;Екатерина;Валерьевна;Женщина;05.12.1971;50;+7 (907) 210-33-10;Россия, г. Химки, Первомайский пер., д. 25 кв.180;Московская область;4 515 551 323;Нормально
Брынских;Игнат;Емельянович;Мужчина;10.10.1973;48;+7 (915) 568-36-23;Россия, г. Сочи, Коммунистическая ул., д. 3 кв.51;Удмуртская Республика;4 285 591 441;Нормально
Ягубова;Рада;Григориевна;Женщина;27.11.1989;32;+7 (930) 909-20-11;Россия, г. Ноябрьск, Мичурина ул., д. 8 кв.15;Ростовская область;4 847 219 901;В розыске
Исакова;Раиса;Данииловна;Женщина;03.07.1969;52;+7 (944) 129-25-98;Россия, г. Якутск, Юбилейная ул., д. 7 кв.77;Республика Бурятия;4 741 500 578;В розыске
Николенко;Алиса;Петровна;Женщина;09.07.1981;40;+7 (915) 664-60-21;Россия, г. Владикавказ, Приозерная ул., д. 14 кв.63;Республика Татарстан;4 074 144 783;В розыске
Базин;Александр;Гаврннлович;Мужчина;10.04.1968;53;+7 (944) 378-52-51;Россия, г. Сызрань, Набережная ул., д. 22 кв.217;Республика Тыва;4 448 366 829;Нормально
Рабинович;Юлиан;Адамович;Мужчина;23.11.1988;33;+7 (979) 267-81-82;Россия, г. Железногорск, Солнечный пер., д. 3 кв.91;Московская область;4 367 708 082;В розыске
Акчурин;Алексей;Саввеевич;Мужчина;20.08.1975;46;+7 (913) 110-32-37;Россия, г. Нефтеюганск, Лесной пер., д. 8 кв.13;Краснодарский край;4 462 276 337;Нормально
Лосева;Арина;Яковна;Женщина;07.02.1980;41;+7 (907) 460-68-28;Россия, г. Сергиев Посад, Первомайский пер., д. 22 кв.150;Республика Татарстан;4 366 983 928;В розыске
Ярмольник;София;Михаиловна;Женщина;21.03.1966;55;+7 (983) 147-62-75;Россия, г. Тула, Советский пер., д. 16 кв.55;Волгоградская область;4 946 897 451;В розыске
Ялчевский;Константин;Маркович;Мужчина;08.09.1967;54;+7 (980) 110-41-63;Россия, г. Королёв, Лесная ул., д. 23 кв.5;Респ. Саха (Якутия);4 761 654 967;В розыске
Запорожец;Тимофей;Прохорович;Мужчина;20.02.1974;47;+7 (915) 835-29-47;Россия, г. Стерлитамак, Заречный пер., д. 25 кв.29;Пермский край;4 671 367 592;Нормально
Корниенко;Игнат;Феодосивич;Мужчина;10.03.1980;41;+7 (960) 861-93-61;Россия, г. Курск, Рабочая ул., д. 6 кв.56;Московская область;4 521 377 337;Нормально
Жданов;Тимофей;Ефимович;Мужчина;15.10.1987;34;+7 (905) 317-44-29;Россия, г. Улан-Удэ, Майская ул., д. 2 кв.148;Челябинская область;4 067 403 148;В розыске
